vendor,part_number,identifier_kind,cpu_architectures,target_config,openocd_distribution,mapping_status,validation_status,catalog_origin
Cypress/Fujitsu,MB9AF112K,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF112L,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF112M,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF112N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF114L,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF114M,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF114N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF115M,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF115N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF116M,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF116N,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
Cypress/Fujitsu,MB9AF121K,cmsis_device_name,"[""ARM Cortex-M""]",tcl/target/fm3.cfg,upstream-openocd,mapping_candidate,not_verified,openocd-parts-expanded.csv
